"","CASE_ID","GPS_NAC_ADOPTER","SURVEY_SOURCE","STATE","HOME","HAVESOLAR","WINTER_NOPV_BINNED","SUMMER_NOPV_BINNED","PN1","PN2","PN3","E2","BB1","BB2","BB3","BTE8","BE13","BE10","Co3","VB1","VB2","VB3","VA1","VA2","VA3","VT1","VT2","VT3","VE1","VE2","VE4","VO1","VO2","VO3","CIJM1","CIJM2","CIJM3","CNS1","CNS2","CNS4","SQFT_BINNED","STANCE","PEOPLE_TOT_3PLUS","HAVE_KIDS","GENDER","AGE_BINNED","EDUC_BINNED","FINANCIAL","INCOME_BINNED","RETIRED"
"75",75,1,1,2,1,0,6,8,1,1,1,1,1,1,1,98,98,98,98,1,0,1,5,2,5,5,5,5,3,2,3,3,3,3,3,3,3,3,3,3,3,4,1,1,1,1,3,3,3,0
"76",76,1,1,4,1,0,3,3,2,3,3,2,1,2,2,3,2,3,2,2,2,1,5,0,4,5,5,3,3,3,4,3,4,3,4,4,3,2,2,2,1,5,0,0,0,2,1,1,5,0
"77",77,1,1,3,1,0,4,2,3,3,4,4,4,3,4,3,3,2,3,4,4,4,5,5,5,4,4,4,3,2,2,4,4,4,2,2,3,1,1,2,2,2,0,0,1,2,4,1,3,0
"78",78,1,1,2,1,0,4,6,4,4,4,5,4,4,4,4,4,4,3,5,5,5,5,5,5,5,4,5,0,2,0,5,5,5,5,5,5,5,5,5,2,3,0,0,0,3,2,3,2,0
"79",79,1,1,3,1,0,4,4,2,4,2,5,4,2,4,3,3,4,3,5,5,3,5,4,4,3,5,4,1,2,4,1,5,5,5,5,3,4,4,5,1,97,1,1,1,1,1,1,4,0
"80",80,1,1,2,1,0,7,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,4,5,4,5,5,5,4,4,1,1,1,1,2,3,1,0
"81",81,1,1,4,1,0,5,5,98,98,4,98,98,98,4,98,98,98,98,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,1,4,4,3,97,NA,99,1,2,2,3,1,0
"82",82,1,1,2,1,0,9,11,4,4,4,5,4,4,5,5,4,4,4,5,4,4,5,4,4,4,5,3,1,1,3,4,3,4,2,3,3,5,4,5,4,4,1,1,1,1,3,1,5,0
"83",83,1,1,4,1,0,4,4,1,1,3,1,1,1,1,3,1,3,1,2,3,3,4,3,4,5,5,5,4,4,2,4,4,4,3,4,4,1,1,3,2,5,0,0,0,4,4,1,95,1
"84",84,1,1,3,1,0,3,3,3,4,3,5,5,98,4,4,4,5,4,4,4,5,5,3,3,3,3,3,2,1,3,4,4,5,4,4,3,2,2,3,2,2,0,0,1,2,4,3,1,0
